x,y,z
304411.68,3892844.17,50.01
304411.58,3892844.18,50.01
304411.47,3892844.18,50.01
304411.37,3892844.18,50.01
304411.27,3892844.18,50.01
304411.16,3892844.18,50.01
304411.06,3892844.19,50.01
304410.96,3892844.19,50.01
304410.85,3892844.19,50.01
304410.75,3892844.19,50.01
304410.65,3892844.20,50.01
304410.54,3892844.20,50.01
304410.44,3892844.20,50.01
304410.34,3892844.20,50.01
304410.24,3892844.20,50.01
304410.13,3892844.21,50.01
304410.03,3892844.21,50.01
304409.93,3892844.21,50.01
304409.82,3892844.21,50.01
304409.72,3892844.22,50.01
304409.62,3892844.22,50.01
304409.51,3892844.22,50.01
304409.41,3892844.22,50.01
304409.31,3892844.23,50.01
304409.20,3892844.23,50.01
304409.10,3892844.23,50.01
304409.00,3892844.23,50.01
304408.90,3892844.23,50.01
304408.79,3892844.24,50.01
304408.69,3892844.24,50.01
304408.59,3892844.24,50.01
304408.48,3892844.24,50.01
304408.48,3892844.24,50.01
304408.48,3892844.14,50.01
304408.48,3892844.04,50.01
304408.47,3892843.94,50.01
304408.47,3892843.84,50.01
304408.46,3892843.73,50.01
304408.46,3892843.63,50.01
304408.46,3892843.53,50.01
304408.45,3892843.43,50.01
304408.45,3892843.33,50.01
304408.44,3892843.22,50.01
304408.44,3892843.12,50.01
304408.43,3892843.02,50.01
304408.43,3892842.92,50.01
304408.43,3892842.82,50.01
304408.42,3892842.72,50.01
304408.42,3892842.61,50.01
304408.41,3892842.51,50.01
304408.41,3892842.41,50.01
304408.41,3892842.31,50.01
304408.40,3892842.21,50.01
304408.40,3892842.10,50.01
304408.39,3892842.00,50.01
304408.39,3892841.90,50.01
304408.39,3892841.80,50.01
304408.38,3892841.70,50.01
304408.38,3892841.60,50.01
304408.37,3892841.49,50.01
304408.37,3892841.39,50.01
304408.37,3892841.29,50.01
304408.36,3892841.19,50.01
304408.36,3892841.09,50.01
304408.35,3892840.98,50.01
304408.35,3892840.88,50.01
304408.34,3892840.78,50.01
304408.34,3892840.68,50.01
304408.34,3892840.58,50.01
304408.33,3892840.48,50.01
304408.33,3892840.37,50.01
304408.32,3892840.27,50.01
304408.32,3892840.17,50.01
304408.32,3892840.07,50.01
304408.31,3892839.97,50.01
304408.31,3892839.86,50.01
304408.30,3892839.76,50.01
304408.30,3892839.66,50.01
